filename,datapoints,trajectory_len,mode,freq,hd_frac,shd_frac,prec,rec,f1
ds_NumPoints24_Len30_Sync_Freq1.txt,24,30,Sync,1,0.000000,0.000000,1.000000,1.000000,1.000000
ds_NumPoints24_Len30_Sync_Freq2.txt,24,30,Sync,2,0.527778,0.619048,0.250000,0.363636,0.296296
ds_NumPoints24_Len30_Sync_Freq3.txt,24,30,Sync,3,0.416667,0.571429,0.375000,0.545455,0.444444
ds_NumPoints24_Len33_Async_Freq1.txt,24,33,Async,1,0.194444,0.333333,0.611111,1.000000,0.758621
ds_NumPoints24_Len33_Async_Freq2.txt,24,33,Async,2,0.166667,0.285714,0.647059,1.000000,0.785714
ds_NumPoints24_Len33_Async_Freq3.txt,24,33,Async,3,0.222222,0.333333,0.588235,0.909091,0.714286
ds_NumPoints24_Len33_Sync_Freq1.txt,24,33,Sync,1,0.000000,0.000000,1.000000,1.000000,1.000000
ds_NumPoints24_Len33_Sync_Freq2.txt,24,33,Sync,2,0.583333,0.619048,0.187500,0.272727,0.222222
ds_NumPoints24_Len33_Sync_Freq3.txt,24,33,Sync,3,0.416667,0.523810,0.375000,0.545455,0.444444
ds_NumPoints24_Len36_Async_Freq1.txt,24,36,Async,1,0.194444,0.333333,0.611111,1.000000,0.758621
ds_NumPoints24_Len36_Async_Freq2.txt,24,36,Async,2,0.250000,0.428571,0.562500,0.818182,0.666667
ds_NumPoints24_Len36_Async_Freq3.txt,24,36,Async,3,0.250000,0.428571,0.555556,0.909091,0.689655
ds_NumPoints24_Len36_Sync_Freq1.txt,24,36,Sync,1,0.000000,0.000000,1.000000,1.000000,1.000000
ds_NumPoints24_Len36_Sync_Freq2.txt,24,36,Sync,2,0.500000,0.619048,0.266667,0.363636,0.307692
ds_NumPoints24_Len36_Sync_Freq3.txt,24,36,Sync,3,0.444444,0.571429,0.352941,0.545455,0.428571
ds_NumPoints24_Len39_Async_Freq1.txt,24,39,Async,1,0.250000,0.428571,0.555556,0.909091,0.689655
ds_NumPoints24_Len39_Async_Freq2.txt,24,39,Async,2,0.166667,0.285714,0.647059,1.000000,0.785714
ds_NumPoints24_Len39_Async_Freq3.txt,24,39,Async,3,0.166667,0.285714,0.647059,1.000000,0.785714
ds_NumPoints24_Len39_Sync_Freq1.txt,24,39,Sync,1,0.000000,0.000000,1.000000,1.000000,1.000000
ds_NumPoints24_Len39_Sync_Freq2.txt,24,39,Sync,2,0.527778,0.619048,0.250000,0.363636,0.296296
ds_NumPoints24_Len39_Sync_Freq3.txt,24,39,Sync,3,0.472222,0.571429,0.312500,0.454545,0.370370
ds_NumPoints24_Len3_Async_Freq1.txt,24,3,Async,1,0.333333,0.523810,0.400000,0.181818,0.250000
ds_NumPoints24_Len3_Async_Freq2.txt,24,3,Async,2,0.277778,0.428571,0.571429,0.363636,0.444444
